"","Name","IOC","DOB","Height","Weight","Turn.Pro","Prz","Rk","CH","Date","Titles","W","L","country_type","Region","CH_age","Background","sex"
"98","Paula BADOSA","Spain",1997-11-15,0,0,0,477082,97,86,2019-09-23,0,214,123,"developed","EUROPE",21,"West","Female"
"99","Camila GIORGI","Italy",1991-12-30,168,54,0,3754718,98,26,2018-10-22,2,347,249,"developed","EUROPE",26,"West","Female"
"100","Irina-Camelia BEGU","Romania",1990-08-26,181,67,0,5154956,99,22,2016-08-22,4,386,279,"developed","EUROPE",26,"West","Female"
"101","Anna KALINSKAYA","Russia",1998-12-02,175,0,0,676871,100,96,2019-10-21,0,166,90,"developing","EUROPE",20,"West","Female"
"102","Kaia KANEPI","Estonia",1985-06-10,181,74,2000,6182005,101,15,2012-08-20,4,495,290,"developed","EUROPE",27,"West","Female"
"103","Nao HIBINO","Japan",1994-11-28,163,58,0,1416434,102,56,2016-01-18,2,251,183,"developed","ASIA",21,"West","Female"
"104","Arantxa RUS","Netherlands",1990-12-13,180,65,0,1430603,103,61,2012-08-13,0,489,302,"developed","EUROPE",21,"West","Female"
"105","Timea BABOS","Hungary",1993-05-10,179,68,2011,7230182,104,25,2016-09-19,3,322,242,"developed","EUROPE",23,"West","Female"
"106","Varvara GRACHEVA","Russia",2000-08-02,0,0,0,108336,105,105,2019-11-04,0,131,54,"developing","EUROPE",19,"West","Female"
"107","Ivana JOROVIC","Serbia",1997-05-03,174,0,0,558508,106,86,2019-07-15,0,212,116,"developing","EUROPE",22,"West","Female"
"108","Vitalia DIATCHENKO","Russia",1990-08-02,180,60,0,1218594,107,71,2014-11-17,0,308,162,"developing","EUROPE",24,"West","Female"
"109","Astra SHARMA","Australia",1995-09-11,0,0,0,441935,108,85,2019-06-24,0,120,63,"developed","OCEANIA",23,"West","Female"
"110","Mihaela BUZARNESCU","Romania",1988-05-04,175,59,2004,2076777,109,20,2018-08-06,1,418,241,"developed","EUROPE",30,"West","Female"
"111","Katarina ZAVATSKA","Ukraine",2000-02-05,173,63,0,211073,110,110,2019-11-04,0,153,91,"developing","EUROPE",19,"West","Female"
"112","Patricia Maria TIG","Romania",1994-07-27,0,0,0,691081,111,83,2017-04-10,0,260,154,"developed","EUROPE",22,"West","Female"
"113","Natalia VIKHLYANTSEVA","Russia",1997-02-16,185,70,0,1153283,112,54,2017-10-23,0,189,125,"developing","EUROPE",20,"West","Female"
"114","Tamara KORPATSCH","Germany",1995-05-12,170,0,0,343389,113,107,2019-08-05,0,237,157,"developed","EUROPE",24,"West","Female"
"115","Aliona BOLSOVA","Spain",1997-11-06,0,0,0,537201,114,88,2019-07-15,0,155,79,"developed","EUROPE",21,"West","Female"
"116","Ysaline BONAVENTURE","Belgium",1994-08-29,0,0,2009,644259,115,109,2019-07-22,0,275,187,"developed","EUROPE",24,"West","Female"
"117","Monica NICULESCU","Romania",1987-09-25,168,63,2002,5998249,116,28,2012-02-27,3,511,350,"developed","EUROPE",24,"West","Female"
"118","Jasmine PAOLINI","Italy",1996-01-04,0,0,0,374240,117,114,2019-09-23,0,228,155,"developed","EUROPE",23,"West","Female"
"119","Catherine MCNALLY","United States",2001-11-20,0,0,2019,340073,118,105,2019-09-09,0,58,33,"developed","NORTHERN_AMERICA",17,"West","Female"
"120","Stefanie VOEGELE","Switzerland",1990-03-10,170,60,2006,2407360,119,42,2013-11-11,0,422,352,"developed","EUROPE",23,"West","Female"
"122","Francesca DI LORENZO","United States",1997-07-22,0,0,0,401578,121,121,2019-11-04,0,120,76,"developed","NORTHERN_AMERICA",22,"West","Female"
"123","Pauline PARMENTIER","France",1986-01-31,175,65,2000,3636064,122,40,2008-07-21,4,471,434,"developed","EUROPE",22,"West","Female"
"124","Greet MINNEN","Belgium",1997-08-14,0,0,0,191304,123,120,2019-08-12,0,194,90,"developed","EUROPE",22,"West","Female"
"125","Nicole GIBBS","United States",1993-03-03,168,0,2013,1801604,124,68,2016-07-25,0,294,215,"developed","NORTHERN_AMERICA",23,"West","Female"
"126","Timea BACSINSZKY","Switzerland",1989-06-08,170,62,2004,6665011,125,9,2016-05-16,4,422,246,"developed","EUROPE",26,"West","Female"
"127","Priscilla HON","Australia",1998-05-10,0,0,0,562981,126,118,2019-10-14,0,163,123,"developed","OCEANIA",21,"West","Female"
"128","Katarzyna KAWA","Poland",1992-11-17,0,0,0,215111,127,124,2019-08-12,0,290,206,"developed","EUROPE",26,"West","Female"
"129","Varvara FLINK","Russia",1996-12-13,0,0,0,282798,128,122,2019-07-15,0,210,106,"developing","EUROPE",22,"West","Female"
"130","Ana BOGDAN","Romania",1992-11-25,171,62,0,1285572,129,59,2018-06-11,0,310,192,"developed","EUROPE",25,"West","Female"
"131","Tereza MARTINCOVA","Czech Republic",1994-10-24,0,0,0,558110,130,114,2017-07-31,0,282,238,"developed","EUROPE",22,"East","Female"
"132","Lizette CABRERA","Australia",1997-12-19,0,55,0,461968,131,131,2019-11-04,0,156,143,"developed","OCEANIA",21,"West","Female"
"133","Whitney OSUIGWE","United States",2002-04-17,0,0,0,349286,132,105,2019-08-12,0,78,46,"developed","NORTHERN_AMERICA",17,"West","Female"
"134","Kaja JUVAN","Slovenia",2000-11-25,0,0,0,232972,133,106,2019-08-12,0,114,37,"developed","EUROPE",18,"West","Female"
"135","Maddison INGLIS","Australia",1998-01-14,171,59,0,152798,134,134,2019-11-04,0,142,87,"developed","OCEANIA",21,"West","Female"
"136","Barbora KREJCIKOVA","Czech Republic",1995-12-18,178,0,0,2375038,135,115,2019-07-22,0,245,143,"developed","EUROPE",23,"West","Female"
"137","Maria SHARAPOVA","Russia",1987-04-19,188,59,2001,38703609,136,1,2005-08-22,36,645,169,"developing","EUROPE",18,"West","Female"
"138","Mandy MINELLA","Luxembourg",1985-11-22,180,65,0,1996720,137,66,2012-09-17,0,470,389,"developed","EUROPE",26,"West","Female"
"139","Anna Karolina SCHMIEDLOVA","Slovakia",1994-09-13,176,63,2011,2299353,138,26,2015-10-12,3,281,196,"developed","EUROPE",21,"East","Female"
"140","Liudmila SAMSONOVA","Russia",1998-11-11,0,0,0,214301,139,123,2019-08-05,0,155,95,"developing","EUROPE",20,"West","Female"
"141","Usue Maitane ARCONADA","United States",1998-10-28,0,0,0,176745,140,138,2019-10-21,0,169,121,"developed","NORTHERN_AMERICA",20,"West","Female"
"142","Vera ZVONAREVA","Russia",1984-09-07,172,59,2000,14231720,141,2,2010-10-25,12,534,271,"developing","EUROPE",26,"West","Female"
"143","Harriet DART","United Kingdom",1996-07-28,0,0,0,587858,142,121,2019-01-28,0,207,151,"developed","EUROPE",22,"West","Female"
"144","WANG Xiyu","China",2001-03-28,0,0,0,265413,143,115,2019-08-12,0,86,52,"developing","ASIA",18,"East","Female"
"145","Kurumi NARA","Japan",1991-12-30,155,53,0,2568303,144,32,2014-08-18,1,325,267,"developed","ASIA",22,"West","Female"
"146","Anna-Lena FRIEDSAM","Germany",1994-02-01,174,68,2011,1411267,145,45,2016-08-15,0,255,142,"developed","EUROPE",22,"West","Female"
"148","Allie KIICK","United States",1995-06-30,170,0,2015,401149,147,126,2019-06-17,0,204,135,"developed","NORTHERN_AMERICA",23,"East","Female"
"149","Ann LI","United States",2000-06-26,0,0,0,122431,148,146,2019-10-07,0,90,54,"developed","NORTHERN_AMERICA",19,"West","Female"
"150","Bibiane SCHOOFS","Netherlands",1988-05-13,170,0,0,375449,149,142,2012-06-11,0,357,213,"developed","EUROPE",24,"West","Female"
"151","WANG Xinyu","China",2001-09-26,0,0,0,245823,150,142,2019-10-21,0,79,42,"developing","ASIA",18,"West","Female"
"152","Barbara HAAS","Austria",1996-03-19,165,0,0,378361,151,134,2016-09-19,0,294,158,"developed","EUROPE",20,"West","Female"
"153","Yanina WICKMAYER","Belgium",1989-10-20,182,68,2004,5133688,152,12,2010-04-19,5,443,302,"developed","EUROPE",20,"West","Female"
"154","Martina TREVISAN","Italy",1993-11-03,0,0,0,304304,153,144,2017-08-21,0,196,104,"developed","EUROPE",23,"West","Female"
"155","Caroline DOLEHIDE","United States",1998-09-05,178,0,0,675032,154,102,2018-07-16,0,155,94,"developed","NORTHERN_AMERICA",19,"West","Female"
"156","Marta KOSTYUK","Ukraine",2002-06-28,0,0,0,318154,155,116,2019-01-07,0,76,37,"developing","EUROPE",16,"West","Female"
"157","Mariam BOLKVADZE","Georgia",1998-01-01,0,0,0,181931,156,153,2019-09-30,0,201,107,"developing","EUROPE",21,"West","Female"
"158","Lara ARRUABARRENA","Spain",1992-03-20,164,58,0,3013763,157,52,2017-07-03,2,337,261,"developed","EUROPE",25,"West","Female"
"159","Sachia VICKERY","United States",1995-05-11,163,66,0,1156747,158,73,2018-07-30,0,251,205,"developed","NORTHERN_AMERICA",23,"West","Female"
"160","Viktoriya TOMOVA","Bulgaria",1995-02-25,170,0,0,499941,159,128,2018-07-16,0,328,216,"developed","EUROPE",23,"West","Female"
"161","Antonia LOTTNER","Germany",1996-08-13,185,0,0,508782,160,128,2018-06-25,0,191,144,"developed","EUROPE",21,"West","Female"
"162","Irina BARA","Romania",1995-03-18,164,0,0,478024,161,139,2018-08-13,0,279,179,"developed","EUROPE",23,"West","Female"
"163","Robin ANDERSON","United States",1993-04-12,0,0,0,192204,162,159,2019-08-05,0,179,112,"developed","NORTHERN_AMERICA",26,"West","Female"
"164","Isabella SHINIKOVA","Bulgaria",1991-10-25,0,0,0,329584,163,133,2017-02-20,0,443,270,"developed","EUROPE",25,"West","Female"
"165","Cristina BUCSA","Spain",1998-01-01,0,0,0,106684,164,164,2019-11-04,0,177,95,"developed","EUROPE",21,"West","Female"
"166","Aleksandra KRUNIC","Serbia",1993-03-15,163,53,2008,2587340,165,39,2018-06-18,1,302,224,"developing","EUROPE",25,"West","Female"
"167","Valeria SAVINYKH","Russia",1991-02-20,167,60,0,479902,166,99,2012-04-09,0,352,251,"developing","EUROPE",21,"East","Female"
"168","Chloe PAQUET","France",1994-07-01,0,0,0,443669,167,145,2019-07-29,0,229,229,"developed","EUROPE",25,"West","Female"
"169","Natalija KOSTIC","Serbia",1994-07-25,0,0,0,138165,168,168,2019-11-04,0,309,183,"developing","EUROPE",25,"West","Female"
"170","Kristina KUCOVA","Slovakia",1990-05-23,163,59,2007,1133958,169,71,2016-09-12,0,361,280,"developed","EUROPE",26,"West","Female"
"171","Varvara LEPCHENKO","United States",1986-05-21,180,72,2001,4679315,170,19,2012-10-01,0,540,417,"developed","NORTHERN_AMERICA",26,"West","Female"
"172","Rebecca SRAMKOVA","Slovakia",1996-10-19,179,68,2013,290035,171,111,2017-05-08,0,236,144,"developed","EUROPE",20,"West","Female"
"173","Mona BARTHEL","Germany",1990-07-11,185,69,2008,3713394,172,23,2013-03-18,4,368,271,"developed","EUROPE",22,"West","Female"
"174","Magdalena RYBARIKOVA","Slovakia",1988-10-04,180,65,2005,5252043,173,17,2018-03-05,4,426,307,"developed","EUROPE",29,"West","Female"
"175","Shelby ROGERS","United States",1992-10-13,175,68,2009,2282956,174,48,2017-01-30,0,219,184,"developed","NORTHERN_AMERICA",24,"West","Female"
"176","Giulia GATTO-MONTICONE","Italy",1987-11-18,0,0,0,384489,175,149,2019-07-15,0,500,367,"developed","EUROPE",31,"West","Female"
"178","Evgeniya RODINA","Russia",1989-02-04,170,60,2004,2297807,177,67,2019-05-06,0,441,338,"developing","EUROPE",30,"West","Female"
"179","LU Jia-Jing","China",1989-11-18,0,0,0,355204,178,162,2019-03-18,0,391,265,"developing","ASIA",29,"West","Female"
"180","HAN Na-Lae","South Korea",1992-07-06,0,0,0,270253,179,149,2019-06-17,0,267,189,"developing","ASIA",26,"West","Female"
"181","Jana CEPELOVA","Slovakia",1993-05-29,168,60,2012,1732433,180,50,2014-05-12,0,311,224,"developed","EUROPE",20,"West","Female"
"182","Anhelina KALININA","Ukraine",1997-02-07,0,0,0,396708,181,107,2018-12-17,0,219,116,"developing","EUROPE",21,"West","Female"
"183","Elena-Gabriela RUSE","Romania",1997-11-06,0,0,0,268768,182,171,2019-09-09,0,169,97,"developed","EUROPE",21,"West","Female"
"184","Danielle LAO","United States",1991-05-28,0,0,0,361509,183,152,2019-04-01,0,163,130,"developed","NORTHERN_AMERICA",27,"West","Female"
"185","Ankita RAINA","India",1993-01-11,0,0,0,298611,184,164,2019-02-11,0,250,211,"developing","ASIA",26,"West","Female"
"186","Yuki NAITO","Japan",2001-02-16,0,0,0,55139,185,185,2019-11-04,0,79,37,"developed","ASIA",18,"West","Female"
"188","Olga DANILOVIC","Serbia",2001-01-23,182,0,0,363833,187,96,2018-10-08,1,84,45,"developing","EUROPE",17,"West","Female"
"189","Richel HOGENKAMP","Netherlands",1992-04-16,168,67,0,979714,188,94,2017-07-24,0,389,239,"developed","EUROPE",25,"West","Female"
"190","Reka-Luca JANI","Hungary",1991-07-31,161,58,2008,300571,189,147,2012-05-07,0,431,237,"developed","EUROPE",20,"West","Female"
"191","Jessika PONCHET","France",1996-09-26,0,0,0,366098,190,169,2019-07-22,0,194,132,"developed","EUROPE",22,"East","Female"
"192","Zoe HIVES","Australia",1996-10-24,0,0,0,211725,191,140,2019-10-14,0,123,76,"developed","OCEANIA",22,"West","Female"
"193","Oceane DODIN","France",1996-10-24,183,58,2012,1073254,192,46,2017-06-12,1,230,144,"developed","EUROPE",20,"East","Female"
"194","Elitsa KOSTOVA","Bulgaria",1990-04-10,0,0,0,524775,193,130,2016-09-12,0,429,362,"developed","EUROPE",26,"West","Female"
"195","Olga GOVORTSOVA","Belarus",1988-08-23,182,67,2002,3168496,194,35,2008-06-23,0,401,305,"developing","EUROPE",19,"East","Female"
"196","HAN Xinyun","China",1990-05-30,172,66,2006,1141900,195,105,2016-10-24,0,377,302,"developing","ASIA",26,"West","Female"
"198","Destanee AIAVA","Australia",2000-05-10,0,0,0,362232,197,147,2017-09-11,0,111,78,"developed","OCEANIA",17,"West","Female"
"199","Magdalena FRECH","Poland",1997-12-15,0,0,0,405334,198,115,2018-07-02,0,226,152,"developed","EUROPE",20,"West","Female"
